U_value_W_m2K,hot_inlet_temp_C,hot_outlet_temp_C,cold_inlet_temp_C,cold_outlet_temp_C,hot_flow_rate_kg_s,cold_flow_rate_kg_s,LMTD_C,heat_duty_kW,pressure_drop_hot_kPa,pressure_drop_cold_kPa,fouling_resistance_m2K_W,hot_side_velocity_m_s,cold_side_velocity_m_s,ambient_temp_C,condition_label
409.3,178.76,128.02,39.03,91.89,24.261,19.776,87.93,2728.2,37.52,30.84,0.000207,1.185,0.974,32.13,normal
418.78,180.98,128.65,40.09,90.17,24.496,20.611,89.68,2766.3,41.47,32.67,0.000195,1.228,0.937,33.24,normal
414.55,181.11,130.01,41.25,91.12,24.866,20.981,89.38,2812.0,38.28,33.3,0.000192,1.178,1.026,31.11,normal
420.53,180.81,129.01,41.54,88.22,25.783,20.532,90.01,2910.5,43.17,31.32,0.000195,1.162,0.987,29.39,normal
416.27,179.0,130.45,40.5,87.95,25.672,20.943,90.5,2759.2,41.19,32.48,0.000197,1.167,0.949,32.7,normal
412.88,180.35,127.83,42.14,90.04,25.492,19.654,87.98,2964.2,39.98,28.9,0.000206,1.167,1.033,31.51,normal
407.01,180.18,127.45,39.64,90.52,24.977,19.21,88.73,2921.1,39.32,29.8,0.000206,1.144,0.996,32.27,normal
400.34,180.33,131.65,38.37,91.42,25.738,19.974,91.07,2739.3,40.73,29.78,0.000243,1.138,0.968,26.29,normal
423.41,181.31,131.08,41.05,89.26,24.968,20.402,91.04,2779.2,38.34,30.64,0.000176,1.249,1.034,30.69,normal
411.47,180.34,128.74,38.16,90.25,25.407,19.073,90.33,2930.1,40.45,27.46,0.000229,1.233,0.984,33.55,normal
417.27,181.02,130.0,39.24,90.21,25.607,19.537,90.78,2865.6,40.68,29.17,0.000168,1.159,0.935,31.05,normal
409.97,180.1,131.22,40.52,89.83,26.078,19.592,90.49,2799.3,43.01,26.12,0.000207,1.244,1.036,31.9,normal
408.46,180.43,130.5,39.9,89.91,25.026,20.178,90.57,2770.4,40.24,30.8,0.000231,1.215,0.964,30.07,normal
404.57,180.95,130.18,39.81,88.89,24.842,20.114,91.21,2689.3,38.76,28.27,0.000217,1.184,1.119,30.21,normal
412.6,177.81,131.31,38.82,90.36,25.837,19.612,89.95,2613.7,43.07,30.14,0.000191,1.139,0.98,32.81,normal
413.84,179.52,129.12,39.99,90.25,25.883,20.09,89.2,2900.0,41.92,28.86,0.000209,1.217,0.917,28.66,normal
407.55,179.29,130.04,41.0,89.43,24.734,19.428,89.45,2684.9,39.08,27.83,0.00025,1.293,1.068,28.46,normal
414.42,179.04,129.98,40.02,90.87,24.397,19.787,89.06,2626.9,36.11,27.89,0.000182,1.201,0.996,29.04,normal
416.37,179.59,129.67,39.17,91.34,25.791,19.368,89.37,2804.0,42.39,29.75,0.000217,1.25,1.008,30.05,normal
412.15,182.24,129.53,38.75,90.88,24.075,19.925,91.07,2792.6,39.63,29.79,0.000229,1.189,1.013,26.78,normal
411.76,178.7,130.09,39.19,88.64,24.044,19.6,90.48,2555.6,38.08,30.71,0.000188,1.246,0.943,31.46,normal
399.05,181.45,130.04,40.39,90.13,24.899,20.345,90.48,2763.8,39.54,32.53,0.000252,1.192,0.911,29.67,normal
404.89,177.48,128.74,40.34,88.82,25.061,19.987,88.53,2726.0,39.02,30.96,0.000262,1.08,1.076,31.71,normal
405.52,179.5,130.96,39.2,90.13,24.364,19.887,90.56,2580.7,39.82,28.57,0.000233,1.164,0.935,25.76,normal
404.75,180.24,128.83,37.79,88.82,25.133,20.884,91.23,2834.8,40.22,32.56,0.000233,1.207,1.063,31.72,normal
422.77,180.88,129.74,40.42,91.66,25.16,20.192,89.27,2777.3,39.79,31.61,0.000148,1.254,1.019,32.67,normal
422.59,181.07,129.65,39.1,91.02,24.712,19.816,90.3,2779.5,38.53,29.82,0.00016,1.192,1.005,30.88,normal
416.44,181.19,130.43,40.69,91.5,26.22,19.708,89.72,2958.2,45.66,28.92,0.000197,1.201,0.979,30.06,normal
416.46,179.48,127.46,39.24,91.37,25.258,19.409,88.16,2918.5,40.63,28.71,0.00018,1.171,1.09,31.73,normal
400.49,179.31,131.07,39.01,89.65,25.677,19.967,90.85,2725.7,42.42,30.27,0.000219,1.278,0.97,32.54,normal
431.75,181.29,129.19,40.15,89.45,24.126,20.154,90.43,2746.6,37.32,29.23,0.000115,1.275,0.971,31.05,normal
406.48,179.71,131.46,42.36,92.26,24.121,19.043,88.27,2561.2,37.44,27.01,0.000219,1.166,1.025,31.2,normal
414.98,178.09,129.43,40.75,89.79,25.276,19.318,88.49,2721.0,40.37,28.71,0.000195,1.124,0.971,33.31,normal
415.14,178.3,129.94,40.14,88.24,26.113,19.742,89.93,2733.2,44.68,30.01,0.000184,1.11,0.957,31.52,normal
412.3,178.62,132.3,40.36,91.31,24.394,19.451,89.6,2493.6,38.32,28.73,0.000257,1.23,0.996,28.4,normal
422.66,180.75,129.67,38.25,90.19,25.086,20.022,90.99,2842.0,38.84,29.73,0.000191,1.207,1.025,32.53,normal
419.44,180.21,131.49,38.88,91.96,24.259,20.091,90.41,2598.7,38.29,30.09,0.000151,1.161,1.073,29.75,normal
405.14,181.04,130.05,37.49,90.32,24.569,19.939,91.64,2755.4,38.65,29.23,0.000214,1.214,1.081,30.07,normal
405.83,179.36,130.5,41.73,89.97,25.116,20.275,89.08,2678.0,40.72,30.66,0.000211,1.138,0.926,30.21,normal
414.82,180.24,130.08,41.53,91.98,24.704,19.708,88.41,2734.8,38.82,29.9,0.000195,1.24,1.04,31.94,normal
399.0,180.94,131.02,40.39,88.0,24.217,19.977,91.78,2707.9,37.23,31.88,0.000271,1.181,0.959,33.5,normal
407.33,179.54,129.18,40.14,89.24,24.203,19.498,89.67,2723.6,38.63,27.7,0.000206,1.146,0.961,30.05,normal
405.62,180.69,128.82,38.45,88.85,23.868,20.142,91.1,2706.2,38.66,31.4,0.00023,1.182,0.976,33.46,normal
413.0,179.01,129.23,39.78,87.15,25.286,20.038,90.65,2757.6,38.97,30.41,0.00021,1.18,0.974,30.33,normal
406.13,179.46,130.12,41.79,91.14,25.359,19.401,88.32,2793.3,41.12,27.12,0.000238,1.218,0.955,32.8,normal
412.61,179.43,129.74,40.13,89.28,25.356,19.922,89.88,2789.8,40.49,29.71,0.00019,1.258,0.905,30.4,normal
416.93,178.21,130.85,39.44,91.18,24.454,19.981,89.21,2564.9,37.53,29.8,0.000168,1.256,1.056,29.02,normal
408.32,180.73,131.57,38.24,90.51,25.604,20.141,91.77,2715.1,39.6,30.38,0.000223,1.208,1.034,33.84,normal
412.21,179.3,128.83,41.38,90.79,25.424,20.159,87.98,2850.2,41.59,31.27,0.000209,1.191,0.997,28.82,normal
409.94,180.02,129.12,39.93,89.41,25.004,19.639,89.9,2791.5,39.53,30.61,0.000224,1.172,0.959,28.69,normal
409.43,180.72,128.28,38.24,89.01,24.906,20.382,90.87,2880.6,39.19,32.07,0.000181,1.112,1.047,27.49,normal
411.07,180.67,132.44,39.08,90.12,24.611,20.262,91.95,2590.3,40.09,30.88,0.000214,1.199,0.995,32.53,normal
419.71,181.0,130.37,38.72,91.19,25.115,19.638,90.72,2847.1,39.89,29.29,0.000152,1.157,0.975,33.01,normal
411.26,179.85,130.58,39.87,89.93,25.97,19.429,90.31,2786.2,42.36,30.14,0.000186,1.261,0.932,30.75,normal
414.99,179.37,128.39,40.21,89.09,25.683,19.676,89.23,2938.7,40.65,28.28,0.000179,1.19,1.019,28.03,normal
414.95,179.88,130.0,39.5,88.44,24.846,19.264,90.97,2727.5,38.65,29.04,0.000215,1.237,0.985,29.99,normal
418.57,177.47,130.61,40.78,90.27,25.323,20.104,88.51,2605.5,42.4,29.36,0.000185,1.176,1.008,29.39,normal
420.37,177.83,129.7,40.08,89.28,24.339,20.592,89.08,2550.8,38.73,30.4,0.000159,1.166,1.005,27.94,normal
412.18,178.02,131.29,41.06,89.91,25.438,20.711,89.16,2599.2,42.56,32.45,0.000183,1.23,1.023,29.02,normal
404.37,178.5,132.77,39.64,89.69,24.501,19.455,90.96,2458.9,37.74,27.22,0.000218,1.214,1.007,31.01,normal
408.41,180.6,128.86,43.05,89.42,25.414,20.393,88.47,2896.7,41.56,30.76,0.000204,1.216,0.986,28.79,normal
416.74,178.64,128.77,39.44,90.38,26.781,20.042,88.8,2954.4,46.32,31.21,0.000178,1.195,1.02,30.58,normal
408.73,179.43,128.95,39.1,90.72,24.658,18.802,89.28,2732.5,39.6,26.11,0.000225,1.239,1.036,26.45,normal
402.39,181.95,131.93,38.97,92.55,26.754,19.834,91.16,2960.3,46.77,30.99,0.000247,1.232,1.06,33.36,normal
411.76,179.47,131.25,39.79,90.99,25.294,19.778,89.96,2718.5,41.25,27.6,0.000227,1.091,0.953,29.22,normal
426.53,181.11,129.84,38.28,92.07,24.55,20.605,90.29,2800.8,38.71,32.49,0.000131,1.187,1.042,31.74,normal
401.03,178.6,130.04,40.29,88.94,24.523,19.565,89.71,2638.4,36.28,27.73,0.000207,1.251,0.934,30.38,normal
414.01,179.69,129.02,38.09,87.92,26.419,20.282,91.35,2960.1,44.6,30.61,0.000196,1.149,1.039,30.8,normal
426.54,178.57,131.07,40.16,89.98,25.296,19.946,89.75,2612.0,41.45,30.03,0.000139,1.115,0.974,27.74,normal
420.36,179.49,129.54,38.65,91.12,24.66,19.277,89.63,2716.0,40.17,27.85,0.000161,1.193,1.032,28.48,normal
411.12,181.26,129.69,39.62,90.91,24.878,19.724,90.21,2790.1,38.85,29.05,0.000224,1.226,1.058,28.52,normal
410.84,177.41,130.73,40.6,91.57,25.258,20.766,87.96,2624.4,40.71,30.94,0.000206,1.177,1.007,30.05,normal
412.17,180.65,129.77,42.3,86.7,24.995,19.913,90.67,2806.3,38.39,30.9,0.000202,1.265,0.998,32.65,normal
416.02,180.36,129.72,38.92,91.63,25.208,20.453,89.76,2842.1,38.99,30.25,0.00018,1.292,0.996,30.87,normal
408.12,179.11,130.01,39.85,90.44,26.064,20.426,89.42,2850.5,43.63,30.17,0.000232,1.104,0.981,28.2,normal
416.91,177.83,130.95,39.28,87.99,24.323,19.776,90.76,2521.6,39.34,29.32,0.000163,1.181,1.045,30.17,normal
421.8,180.11,131.98,39.13,90.94,25.387,19.358,90.99,2667.9,42.42,27.73,0.000173,1.086,0.996,29.84,normal
420.17,179.21,130.7,39.29,90.22,24.956,19.424,90.2,2595.7,40.31,29.13,0.00019,1.233,0.913,29.3,normal
418.67,180.35,130.96,40.82,90.5,24.701,20.726,90.0,2699.9,41.19,31.56,0.000154,1.166,1.035,29.97,normal
412.73,180.03,129.76,39.51,91.3,25.643,20.076,89.49,2831.1,41.48,30.2,0.000174,1.176,1.033,31.53,normal
402.11,182.4,129.15,42.25,90.56,24.123,19.133,89.35,2850.1,38.41,27.79,0.000232,1.257,1.002,28.56,normal
418.83,179.64,130.78,40.42,88.09,23.58,20.417,90.96,2555.4,34.69,31.91,0.000175,1.134,0.968,29.31,normal
411.24,178.46,130.21,38.99,89.81,25.135,19.107,89.93,2686.5,37.25,27.21,0.000223,1.121,0.954,31.96,normal
411.26,180.27,128.29,39.63,87.9,24.917,19.587,90.5,2856.6,39.28,27.56,0.000219,1.086,0.969,30.94,normal
415.69,180.33,129.61,39.2,90.84,24.188,20.041,89.95,2649.5,37.57,29.46,0.000195,1.264,1.008,32.56,normal
417.96,182.04,129.9,40.8,91.82,23.974,21.26,89.66,2787.8,37.33,34.4,0.000157,1.252,0.926,32.87,normal
404.56,181.25,129.39,38.36,88.39,26.158,20.408,91.94,2947.1,43.21,31.39,0.000202,1.185,1.017,27.28,normal
421.94,180.54,131.78,38.66,89.13,25.278,19.759,92.26,2692.0,41.17,29.06,0.000137,1.136,1.003,30.58,normal
422.18,182.19,130.58,39.41,88.85,25.012,20.014,92.25,2830.5,41.77,30.09,0.000184,1.242,1.051,28.98,normal
412.66,178.22,131.65,40.68,89.41,26.317,20.46,89.88,2696.8,44.61,31.04,0.000207,1.338,1.028,27.6,normal
410.14,179.04,130.32,41.23,90.54,25.613,20.711,88.79,2736.0,41.02,32.58,0.000226,1.188,0.971,28.42,normal
417.24,178.61,130.1,41.38,89.42,26.062,19.876,88.95,2764.8,40.6,29.94,0.000195,1.14,0.932,29.4,normal
412.62,179.42,128.88,40.53,90.85,24.292,19.891,88.46,2725.0,36.91,29.48,0.000182,1.262,0.967,29.41,normal
417.29,177.93,130.01,39.92,91.38,24.27,19.585,88.31,2518.7,39.26,29.62,0.000179,1.143,1.055,28.79,normal
417.3,180.95,130.02,40.79,91.43,25.37,20.333,89.37,2830.6,40.57,31.85,0.000186,1.182,1.012,29.97,normal
405.95,179.67,128.36,38.86,88.55,25.249,20.513,90.31,2787.1,41.4,30.66,0.000219,1.068,1.024,34.89,normal
412.52,177.79,129.35,38.16,91.8,25.75,19.031,88.57,2713.2,42.83,26.71,0.000211,1.185,0.975,26.55,normal
418.14,178.48,129.61,40.44,91.91,24.022,19.802,87.87,2535.5,37.17,31.39,0.000199,1.136,1.019,32.27,normal
408.04,180.47,130.5,38.99,92.02,25.422,19.393,89.97,2817.0,41.14,28.88,0.000219,1.263,0.939,29.96,normal
405.95,181.26,130.55,39.93,89.79,25.594,20.075,91.04,2860.5,41.06,31.54,0.0002,1.151,1.037,29.12,normal
420.47,183.0,129.3,40.12,89.02,25.562,19.381,91.56,2995.2,43.86,29.06,0.00016,1.239,0.954,25.96,normal
415.97,184.37,130.56,40.25,88.72,24.756,19.34,92.96,2834.6,38.34,28.61,0.000167,1.195,0.921,31.53,normal
410.51,180.62,129.78,40.94,88.57,25.311,20.562,90.44,2785.2,42.02,29.82,0.000218,1.206,1.09,27.12,normal
416.62,178.52,126.56,40.83,90.02,24.535,19.917,87.11,2771.6,39.5,28.8,0.000159,1.226,1.005,31.66,normal
415.05,176.8,129.42,40.2,91.1,24.824,19.97,87.45,2577.0,40.11,30.44,0.000189,1.197,1.004,33.48,normal
418.34,180.4,131.29,39.56,91.7,24.374,20.216,90.21,2656.0,38.1,29.86,0.000197,1.168,0.925,27.43,normal
418.09,178.78,127.98,40.11,89.37,24.545,20.485,88.64,2699.9,37.22,31.2,0.000169,1.159,1.025,32.34,normal
414.95,179.38,130.14,39.4,89.95,24.855,19.791,90.08,2652.1,38.44,30.17,0.00015,1.225,1.035,30.05,normal
420.44,179.08,131.9,39.8,89.86,24.705,19.802,90.65,2514.0,38.38,29.58,0.000165,1.105,0.992,25.81,normal
422.39,179.79,129.09,42.62,89.17,24.545,19.804,88.53,2737.9,39.07,29.79,0.000146,1.284,1.036,27.59,normal
410.59,181.6,130.0,40.18,90.96,24.22,20.541,90.23,2684.2,38.67,32.59,0.000218,1.207,1.047,30.36,normal
414.71,180.24,128.44,40.45,90.47,26.177,19.966,88.87,2930.2,43.77,31.1,0.000212,1.183,1.021,30.8,normal
414.66,179.76,131.95,39.29,90.18,24.7,19.854,91.11,2612.1,39.4,29.56,0.000177,1.213,0.913,26.84,normal
418.8,178.45,129.9,41.02,90.47,25.198,20.195,88.43,2736.9,41.61,31.55,0.000159,1.17,0.954,30.06,normal
402.85,177.49,130.06,40.76,90.8,23.945,20.916,87.99,2500.5,34.92,31.75,0.000235,1.191,1.067,31.65,normal
411.38,179.27,131.63,40.77,90.79,25.815,20.037,89.67,2696.5,40.17,30.28,0.000213,1.143,1.003,32.0,normal
416.71,179.92,130.79,40.21,88.91,25.1,19.865,90.79,2778.1,38.74,30.09,0.000181,1.219,1.003,29.17,normal
405.82,182.65,128.95,41.03,91.17,24.734,20.971,89.69,2906.5,40.16,32.59,0.000236,1.196,0.967,30.88,normal
415.13,180.2,129.22,41.27,90.33,24.739,20.665,88.9,2758.6,37.24,31.64,0.000204,1.209,0.975,32.14,normal
407.08,181.47,130.59,40.28,89.43,25.522,20.592,91.17,2840.7,41.51,30.72,0.00021,1.274,1.048,31.7,normal
418.75,179.25,129.25,39.89,90.3,23.228,19.75,89.16,2600.1,34.13,29.3,0.000169,1.16,1.06,31.78,normal
423.15,178.22,127.46,40.89,90.45,24.505,19.7,87.17,2752.9,38.74,27.91,0.000155,1.194,1.032,30.23,normal
418.86,178.55,129.94,39.1,91.41,24.929,19.083,88.98,2682.1,39.65,27.46,0.000153,1.117,1.022,29.81,normal
396.97,178.91,128.22,39.28,88.64,24.922,20.482,89.61,2788.9,40.02,31.36,0.000262,1.228,1.025,30.54,normal
410.34,183.19,131.94,39.95,91.72,26.503,20.038,91.73,2974.7,44.03,30.7,0.000175,1.199,0.997,28.47,normal
413.13,178.77,130.21,38.26,90.03,24.797,19.1,90.34,2639.2,40.13,26.67,0.000202,1.201,0.952,32.22,normal
417.28,181.26,128.91,40.83,89.34,25.594,20.601,89.99,2918.4,43.19,31.91,0.000214,1.192,0.943,26.94,normal
410.51,178.65,129.16,39.04,89.3,26.087,19.831,89.73,2828.1,44.45,30.0,0.000199,1.171,1.053,28.99,normal
415.44,181.4,127.73,39.53,88.7,25.402,19.893,90.43,3007.5,40.8,29.69,0.000195,1.325,0.999,29.93,normal
404.05,180.58,128.68,39.79,87.74,24.596,19.244,90.85,2802.3,37.98,28.35,0.000195,1.202,1.019,30.94,normal
411.9,179.77,131.22,40.04,90.88,24.229,20.246,90.03,2612.0,38.0,30.88,0.000214,1.215,1.008,31.32,normal
413.88,179.94,132.68,39.66,92.58,25.447,20.251,90.16,2653.7,43.27,28.6,0.000169,1.143,1.01,32.98,normal
413.54,179.02,130.87,39.93,87.9,25.987,19.976,91.03,2758.3,42.83,29.2,0.000187,1.244,1.014,30.16,normal
425.28,180.67,129.89,39.94,88.76,25.328,19.791,90.92,2803.4,41.79,31.15,0.000131,1.194,1.028,28.56,normal
415.95,179.32,129.48,39.55,90.98,25.74,21.313,89.13,2785.3,42.94,34.16,0.000144,1.222,0.969,29.71,normal
432.17,178.16,128.85,39.23,89.94,26.555,19.398,88.92,2846.9,45.36,27.91,0.000161,1.245,1.047,29.36,normal
406.1,178.08,132.47,41.08,91.08,25.502,19.639,89.18,2591.7,42.73,29.33,0.000226,1.195,0.97,31.04,normal
416.67,180.26,129.77,37.9,89.87,24.34,20.354,91.13,2651.5,36.8,31.53,0.000192,1.166,1.01,27.87,normal
415.28,182.37,132.54,39.79,89.25,25.031,19.493,92.93,2749.7,39.13,29.88,0.000221,1.084,0.953,29.65,normal
412.06,180.24,131.67,39.53,89.71,25.822,19.456,91.33,2764.8,42.45,28.24,0.000212,1.181,0.993,33.25,normal
406.61,179.82,127.91,40.42,86.9,24.851,20.566,90.18,2817.5,40.8,31.07,0.000208,1.166,0.974,30.36,normal
418.14,180.43,129.2,38.55,88.51,25.903,20.303,91.28,2918.3,43.87,30.42,0.000172,1.143,1.001,27.89,normal
405.11,181.96,129.2,39.5,91.23,24.96,20.242,90.21,2902.4,39.84,30.2,0.000202,1.273,1.029,29.32,normal
410.22,180.33,129.9,39.9,91.55,25.201,20.091,89.39,2761.0,41.58,29.76,0.000208,1.249,1.003,25.53,normal
408.6,179.38,129.93,41.07,91.83,24.79,19.654,88.2,2673.5,38.97,29.22,0.000266,1.109,1.078,29.88,normal
408.98,181.66,133.6,40.33,90.57,25.096,19.874,92.17,2649.6,39.45,29.32,0.00019,1.208,1.032,33.3,normal
405.84,180.64,128.71,38.82,87.07,25.127,19.96,91.72,2867.9,39.04,29.84,0.000222,1.159,0.991,27.63,normal
420.89,182.3,130.27,39.51,89.17,24.035,20.423,91.94,2708.5,37.13,32.65,0.000196,1.218,0.997,27.09,normal
415.77,180.27,130.74,40.89,91.72,24.735,20.213,89.2,2695.7,38.89,29.81,0.000179,1.16,1.015,28.69,normal
404.87,178.16,130.0,38.8,92.11,24.26,19.536,88.6,2571.9,38.9,29.03,0.000226,1.173,1.028,31.84,normal
404.95,177.95,130.13,39.92,91.77,24.756,20.395,88.18,2631.6,39.86,30.17,0.000257,1.248,0.951,33.41,normal
409.63,182.48,128.75,39.99,89.69,24.523,19.161,90.75,2895.6,38.69,28.51,0.000208,1.241,1.025,30.9,normal
405.5,182.59,130.13,39.61,88.3,25.607,19.84,92.39,2940.6,41.82,30.46,0.00018,1.275,0.952,27.43,normal
405.03,179.73,130.61,42.7,89.95,25.614,19.429,88.85,2788.3,41.37,27.78,0.000214,1.189,1.022,29.96,normal
419.65,179.43,130.39,39.59,90.02,25.336,19.571,90.1,2763.9,39.19,28.3,0.000208,1.127,1.044,33.58,normal
403.13,182.19,130.68,40.45,92.04,24.239,20.963,90.2,2702.7,36.65,33.18,0.000266,1.246,1.012,29.38,normal
414.94,178.34,131.7,39.23,90.3,24.941,19.265,90.23,2541.1,40.62,27.82,0.000222,1.246,0.907,30.28,normal
413.56,178.66,131.12,40.53,90.02,24.192,19.59,89.61,2463.8,37.56,30.04,0.000172,1.231,0.929,30.48,normal
406.21,180.96,130.09,40.87,90.1,24.912,20.255,90.04,2757.0,38.43,29.73,0.000238,1.163,1.023,26.91,normal
408.24,179.41,128.59,39.41,90.52,25.388,19.765,89.03,2880.1,42.49,30.23,0.000223,1.146,0.902,32.0,normal
405.93,179.99,129.28,39.95,90.81,25.595,20.078,89.26,2820.7,43.43,32.0,0.000228,1.227,1.024,31.71,normal
411.42,179.75,129.74,39.1,89.06,25.284,20.715,90.66,2793.5,42.03,32.27,0.000213,1.156,1.039,26.01,normal
403.29,180.51,130.3,38.86,88.63,25.755,20.327,91.66,2854.2,42.62,30.38,0.00023,1.185,1.045,27.34,normal
415.44,182.11,129.43,41.04,91.78,25.156,19.766,89.36,2895.5,40.74,28.75,0.000213,1.345,0.99,28.06,normal
416.02,180.14,128.88,39.45,87.87,24.86,19.933,90.84,2787.1,39.57,29.69,0.000192,1.306,1.018,31.5,normal
411.46,180.97,128.57,37.59,92.13,25.524,20.265,89.91,2981.0,41.69,31.26,0.000204,1.24,1.008,28.5,normal
413.97,176.92,128.02,41.77,87.52,25.544,20.317,87.82,2773.9,42.21,29.67,0.000197,1.167,0.941,30.8,normal
409.9,179.93,129.72,39.2,89.24,24.685,20.01,90.6,2791.1,39.81,29.78,0.00021,1.164,1.03,29.64,normal
405.54,178.74,128.24,39.75,91.26,25.227,20.18,87.98,2723.3,41.11,30.59,0.000202,1.236,1.056,30.14,normal
410.5,178.17,128.8,41.64,90.0,24.823,20.181,87.66,2709.6,36.22,31.73,0.000191,1.275,1.028,30.99,normal
413.05,178.68,129.53,39.86,88.29,23.795,19.954,90.03,2498.9,37.75,31.36,0.000195,1.174,0.98,30.54,normal
