U_value_W_m2K,hot_inlet_temp_C,hot_outlet_temp_C,cold_inlet_temp_C,cold_outlet_temp_C,hot_flow_rate_kg_s,cold_flow_rate_kg_s,LMTD_C,heat_duty_kW,pressure_drop_hot_kPa,pressure_drop_cold_kPa,fouling_resistance_m2K_W,hot_side_velocity_m_s,cold_side_velocity_m_s,ambient_temp_C,condition_label
404.81,177.88,131.03,41.12,91.36,24.742,20.692,88.21,2537.9,37.14,32.33,0.000193,1.191,1.027,29.84,normal
412.8,180.83,129.95,41.08,89.31,26.014,20.538,90.18,2908.7,41.51,31.22,0.000208,1.168,1.086,32.77,normal
417.65,178.92,129.2,39.16,92.04,25.418,19.141,88.45,2767.5,42.7,28.79,0.000219,1.233,0.999,29.77,normal
409.9,179.7,129.57,39.66,91.76,25.562,19.71,88.92,2811.3,42.03,30.13,0.000205,1.23,1.038,26.62,normal
417.28,177.73,130.35,40.09,89.89,24.635,19.383,89.05,2557.9,37.67,29.02,0.000191,1.27,0.919,27.71,normal
412.62,181.5,130.84,40.79,90.8,24.386,19.457,90.37,2738.9,39.0,28.54,0.000204,1.164,0.985,30.28,normal
411.75,181.15,132.36,38.36,90.18,24.83,19.648,92.48,2676.0,39.16,31.3,0.0002,1.143,0.974,30.01,normal
415.42,180.6,129.73,39.96,88.99,25.146,20.889,90.68,2809.5,39.77,32.42,0.000198,1.168,1.051,28.69,normal
420.1,178.64,130.13,41.9,91.14,24.793,20.035,87.86,2628.2,38.89,29.29,0.000191,1.137,0.999,28.9,normal
407.73,179.2,129.67,39.95,90.42,24.887,19.856,89.25,2793.6,39.29,30.45,0.000205,1.196,1.031,26.83,normal
414.19,181.84,130.09,40.26,90.89,25.577,19.801,90.39,2907.7,43.39,28.37,0.000204,1.177,0.975,27.0,normal
414.24,179.59,129.6,40.04,91.15,25.18,20.301,89.0,2805.2,39.59,32.37,0.000199,1.155,0.952,28.76,normal
408.31,180.41,128.93,38.84,91.53,24.41,20.314,89.48,2735.9,37.92,31.69,0.000197,1.196,1.001,28.63,normal
420.21,180.22,131.0,40.99,91.12,24.743,19.509,89.55,2661.6,40.58,29.77,0.00019,1.249,1.057,29.76,normal
420.66,178.33,130.11,40.31,89.89,24.605,20.702,89.12,2641.7,40.36,32.78,0.000194,1.234,1.002,27.62,normal
407.06,182.29,131.38,40.2,89.99,25.109,19.427,91.74,2785.8,39.58,28.95,0.000214,1.166,1.067,33.29,normal
419.32,177.03,129.49,40.77,90.44,24.3,19.829,87.65,2515.5,40.05,28.52,0.000198,1.2,0.991,26.44,normal
414.75,180.34,130.25,40.83,89.86,24.893,20.193,89.95,2742.7,40.78,30.08,0.00019,1.214,0.99,31.86,normal
409.56,179.87,130.77,38.14,89.63,25.416,20.823,91.43,2728.1,40.01,32.9,0.000216,1.23,0.989,31.2,normal
417.02,177.58,128.19,40.52,91.98,25.017,19.795,86.63,2712.0,41.94,29.38,0.000206,1.18,0.993,33.34,normal
409.37,180.5,128.9,39.46,90.37,24.452,20.111,89.79,2781.0,37.37,30.87,0.000225,1.132,0.975,32.93,normal
413.85,180.79,130.75,40.2,92.06,24.63,20.619,89.63,2734.3,39.63,31.19,0.000201,1.215,0.994,27.36,normal
419.1,180.08,130.1,39.33,89.15,25.075,20.279,90.85,2763.0,39.08,30.17,0.000194,1.15,0.971,30.82,normal
419.06,178.76,128.18,39.18,89.95,25.29,20.531,88.91,2822.6,39.08,31.72,0.00019,1.18,0.962,31.67,normal
413.28,180.68,129.4,41.0,89.42,25.502,20.487,89.82,2911.4,42.57,32.11,0.000216,1.183,1.065,32.04,normal
402.75,181.68,129.21,40.04,89.37,24.913,20.097,90.73,2912.0,40.67,30.6,0.000231,1.242,1.038,31.16,normal
409.03,180.34,129.53,39.76,89.68,24.21,20.283,90.21,2698.5,37.67,30.03,0.00019,1.175,0.992,28.93,normal
418.11,182.59,131.53,39.76,89.86,25.855,20.426,92.25,2858.9,42.69,29.87,0.000192,1.206,0.98,32.77,normal
408.38,181.3,129.5,40.13,89.48,25.179,19.954,90.59,2845.0,40.53,31.58,0.000207,1.187,0.94,29.87,normal
415.07,181.16,132.01,40.03,91.96,25.244,20.767,90.58,2757.5,40.45,31.23,0.00019,1.171,1.028,29.11,normal
409.64,182.09,129.76,37.68,90.73,25.183,18.975,91.72,2888.4,39.47,26.63,0.000197,1.242,0.977,30.5,normal
412.92,179.01,129.28,39.18,89.18,24.378,19.507,89.97,2650.4,38.8,28.14,0.000196,1.175,1.083,29.2,normal
407.98,179.23,131.58,39.82,89.39,24.808,20.689,90.8,2590.3,39.51,32.65,0.000202,1.222,0.934,28.75,normal
416.32,180.78,131.06,40.8,90.72,25.154,20.181,90.15,2792.8,40.42,30.05,0.000213,1.211,1.018,30.38,normal
409.23,180.79,131.38,41.42,90.59,25.62,19.646,90.08,2787.3,41.24,29.51,0.0002,1.106,1.054,35.54,normal
410.55,182.27,132.03,39.12,89.26,25.036,20.157,92.96,2759.1,40.01,30.79,0.000211,1.115,0.982,30.79,normal
413.05,181.73,131.07,42.0,91.0,23.128,20.511,89.89,2561.1,33.27,30.51,0.000195,1.04,1.087,30.3,normal
416.4,180.27,131.26,40.16,88.41,24.855,19.688,91.48,2653.6,39.34,29.35,0.000204,1.212,1.045,29.21,normal
409.59,180.34,128.32,40.55,89.48,25.212,20.352,89.3,2957.0,39.64,30.01,0.00019,1.211,1.045,30.86,normal
414.44,179.6,129.21,39.53,91.88,25.776,19.907,88.7,2857.7,43.54,29.64,0.00019,1.172,0.97,27.71,normal
410.49,179.47,130.54,39.46,87.1,25.427,19.911,91.72,2741.8,40.46,30.46,0.00021,1.171,1.046,31.14,normal
415.91,179.34,130.23,41.51,89.78,26.494,19.933,89.14,2855.5,43.96,29.65,0.000193,1.182,1.046,30.7,normal
413.31,181.37,130.8,39.85,91.03,25.855,20.524,90.64,2904.7,42.63,30.8,0.000207,1.166,1.01,30.32,normal
410.11,179.31,129.61,39.97,89.8,25.809,19.408,89.58,2797.7,43.26,28.17,0.000207,1.196,1.077,31.12,normal
411.0,179.49,131.26,41.23,89.05,25.566,19.784,90.23,2665.4,42.37,29.44,0.000216,1.195,1.018,29.74,normal
409.88,180.26,132.11,41.8,88.97,24.171,20.299,90.8,2547.1,37.81,31.19,0.00021,1.153,0.913,31.51,normal
412.41,179.25,130.71,38.57,87.65,25.508,19.359,91.87,2733.5,43.83,26.6,0.000212,1.268,1.018,31.25,normal
412.71,179.68,130.87,39.89,88.55,25.36,19.178,91.05,2781.5,41.03,26.37,0.000199,1.249,1.076,31.29,normal
411.98,176.75,130.54,40.07,90.07,24.684,20.253,88.57,2508.8,39.42,31.08,0.000192,1.178,0.98,30.15,normal
414.25,180.59,130.96,41.9,89.38,25.352,19.969,90.13,2747.7,43.73,29.83,0.000191,1.307,1.035,31.95,normal
415.12,179.58,130.26,42.55,89.98,25.251,19.895,88.64,2735.2,39.84,29.73,0.000194,1.321,0.979,29.77,normal
422.49,180.32,129.55,40.03,89.84,24.721,20.039,90.0,2743.1,40.16,30.28,0.00019,1.26,1.005,32.79,normal
412.25,180.59,130.24,40.46,90.31,24.926,19.482,90.03,2742.6,40.23,28.49,0.000193,1.258,0.895,29.91,normal
414.11,177.26,130.15,40.95,88.19,24.842,21.425,89.14,2578.0,38.24,33.6,0.000199,1.169,0.931,32.77,normal
417.45,183.66,128.56,41.24,89.64,25.138,19.476,90.63,3055.5,39.83,28.72,0.000203,1.182,0.993,30.67,normal
406.26,180.3,130.28,39.77,89.63,24.745,19.751,90.59,2707.8,40.1,29.86,0.000196,1.12,0.981,30.08,normal
408.45,180.34,130.07,40.95,89.66,25.327,19.258,89.9,2829.8,39.51,28.29,0.00019,1.178,0.929,28.08,normal
408.83,177.41,130.25,39.39,89.03,23.849,19.76,89.62,2473.6,36.56,29.37,0.000199,1.247,1.033,31.44,normal
411.98,181.04,129.53,37.41,87.59,24.831,20.731,92.78,2817.9,40.48,31.2,0.000203,1.178,1.019,30.88,normal
419.18,180.74,130.63,38.71,90.6,23.989,19.978,91.02,2632.6,37.1,30.25,0.000213,1.114,0.968,30.25,normal
413.04,179.59,130.72,40.31,90.84,24.71,20.266,89.58,2667.2,39.55,29.87,0.000207,1.278,0.92,30.99,normal
418.39,180.52,129.35,40.88,92.58,25.31,19.727,88.2,2860.7,40.24,28.73,0.000192,1.297,1.028,30.42,normal
413.55,182.08,130.37,37.84,90.79,25.013,20.875,91.91,2863.8,39.42,32.52,0.000191,1.274,0.984,28.27,normal
400.15,179.67,131.02,38.29,91.63,24.934,20.05,90.36,2649.6,39.59,30.46,0.000224,1.12,1.033,27.74,normal
403.2,178.83,130.86,40.07,90.59,25.041,19.344,89.51,2660.0,39.92,29.2,0.000209,1.239,1.05,31.45,normal
412.7,182.19,129.31,36.72,89.44,25.942,20.353,92.67,3004.7,43.76,31.87,0.000222,1.156,0.989,30.52,normal
409.18,180.6,129.24,40.67,90.38,24.336,19.784,89.4,2753.6,38.58,30.04,0.000226,1.19,0.993,33.27,normal
409.98,179.94,130.06,41.14,88.73,25.533,20.272,90.06,2821.8,43.5,30.48,0.00019,1.234,1.034,34.28,normal
415.97,183.67,129.04,37.12,90.23,24.092,20.038,92.67,2934.7,38.04,30.13,0.000205,1.275,0.992,31.85,normal
406.52,180.46,132.55,40.88,89.84,24.72,20.1,91.14,2595.3,39.56,30.13,0.000205,1.167,0.922,31.47,normal
415.67,179.96,129.28,39.92,88.81,25.098,20.037,90.25,2771.5,42.62,31.53,0.000207,1.181,1.027,31.32,normal
416.82,180.62,129.29,41.54,91.29,24.489,19.516,88.54,2770.1,38.53,29.12,0.000207,1.135,1.015,30.37,normal
409.75,179.62,130.68,40.4,91.2,25.123,19.217,89.35,2736.9,39.59,27.42,0.000202,1.199,0.979,28.85,normal
408.61,180.54,129.57,39.88,90.49,25.437,20.456,89.87,2845.4,41.46,30.59,0.000202,1.15,1.023,24.76,normal
417.51,180.44,127.7,40.24,90.89,24.284,19.9,88.5,2880.4,36.88,30.71,0.00019,1.174,0.986,31.72,normal
409.35,179.23,129.87,41.07,91.79,24.954,20.111,88.12,2664.1,40.38,29.61,0.000198,1.237,0.985,31.36,normal
417.4,179.83,129.03,40.32,89.86,24.774,19.736,89.34,2807.7,40.71,29.58,0.000191,1.198,1.034,30.23,normal
408.4,180.68,129.5,40.17,88.52,23.836,18.957,90.74,2714.6,37.37,27.39,0.000202,1.205,0.945,30.42,normal
416.63,180.78,128.4,38.68,88.96,24.888,19.33,90.77,2897.4,39.27,29.05,0.000194,1.213,0.935,32.15,normal
411.91,181.08,129.16,40.62,90.71,24.521,20.666,89.45,2781.5,38.61,31.2,0.000207,1.238,0.994,32.04,normal
409.66,181.38,129.91,40.16,90.19,25.803,19.575,90.47,2957.8,42.99,29.32,0.00021,1.267,0.947,30.55,normal
409.08,180.58,129.94,41.98,88.36,24.475,19.777,90.07,2757.5,39.73,29.59,0.000204,1.14,1.036,29.65,normal
413.03,180.98,128.91,40.12,91.42,26.02,19.234,89.17,3013.4,42.65,28.63,0.000204,1.118,0.97,31.39,normal
406.03,179.63,129.27,40.05,90.23,24.68,19.704,89.31,2729.7,38.69,30.29,0.000201,1.225,0.93,31.8,normal
412.8,179.81,129.13,39.51,91.76,26.163,19.781,88.83,2912.5,44.49,29.49,0.000195,1.234,0.984,34.69,normal
411.79,181.75,130.1,40.86,91.24,25.324,19.857,89.88,2911.3,41.16,29.44,0.000198,1.269,0.91,28.29,normal
416.23,177.23,129.82,39.94,89.53,25.272,19.93,88.78,2646.2,41.13,30.51,0.000194,1.238,1.056,31.18,normal
407.66,180.74,128.76,39.43,90.08,25.483,19.651,89.99,2906.3,41.96,28.0,0.000205,1.285,0.999,28.35,normal
418.81,184.92,130.59,41.75,89.21,25.541,19.68,92.24,3033.3,40.81,29.29,0.0002,1.225,1.028,29.23,normal
410.57,177.4,129.32,41.93,89.05,25.842,19.96,87.87,2741.3,42.43,29.18,0.000207,1.167,1.021,34.97,normal
410.57,182.42,130.34,39.69,89.68,26.04,20.128,91.69,2951.0,44.1,29.39,0.00019,1.249,1.009,29.31,normal
415.89,177.53,129.13,39.12,90.49,24.792,19.896,88.52,2655.5,39.42,28.57,0.000211,1.153,0.958,29.9,normal
420.23,180.7,130.24,41.28,91.5,24.25,20.838,89.08,2697.2,37.67,31.0,0.000191,1.164,1.033,28.97,normal
413.69,182.58,129.83,39.31,89.04,23.397,20.069,92.02,2677.7,35.8,30.85,0.000191,1.219,0.987,31.93,normal
410.13,182.37,130.0,42.98,90.78,24.768,20.047,89.29,2866.3,39.72,30.82,0.000198,1.186,0.969,29.29,normal
414.06,178.77,130.44,40.01,90.06,25.456,19.638,89.57,2738.2,43.85,29.12,0.000193,1.246,0.918,26.74,normal
409.83,178.17,130.41,41.11,89.75,25.227,20.479,88.85,2658.7,39.91,32.16,0.000203,1.18,1.053,30.44,normal
412.93,177.96,130.11,38.85,91.25,25.069,19.454,88.97,2607.1,40.34,28.57,0.000193,1.291,0.991,31.85,normal
420.01,181.18,130.1,40.11,89.63,24.79,19.157,90.77,2771.9,41.4,27.38,0.00019,1.148,0.984,30.1,normal
415.93,179.52,128.69,41.25,91.52,24.616,19.478,87.72,2775.1,38.94,27.76,0.00019,1.234,0.923,30.47,normal
410.69,180.11,130.0,40.59,89.56,24.83,20.275,89.98,2705.6,40.15,31.51,0.000216,1.174,1.038,28.72,normal
413.96,180.48,127.78,39.61,89.01,25.233,19.393,89.81,2917.3,39.25,29.04,0.000201,1.27,0.996,28.22,normal
414.35,180.7,127.73,42.61,90.86,23.941,20.612,87.46,2820.3,37.97,32.68,0.00019,1.17,1.042,30.15,normal
415.77,180.89,129.63,40.89,88.43,25.437,19.954,90.59,2862.4,42.14,29.25,0.0002,1.237,0.999,27.81,normal
417.63,180.27,129.72,39.92,88.73,24.125,19.207,90.66,2669.4,38.34,27.68,0.00019,1.04,0.966,29.23,normal
407.92,177.67,131.59,39.54,89.69,24.905,19.85,90.0,2546.2,39.9,28.74,0.000221,1.16,1.023,28.1,normal
414.92,182.26,130.6,39.88,90.03,24.619,20.856,91.47,2839.9,39.28,33.27,0.00019,1.282,0.937,29.65,normal
420.31,175.95,131.08,41.51,89.7,24.778,19.535,87.9,2457.3,39.4,29.38,0.000206,1.209,0.937,31.76,normal
413.21,181.93,129.69,39.38,87.83,24.371,19.31,92.19,2768.5,39.16,28.64,0.000207,1.203,0.998,30.05,normal
413.91,179.17,130.38,40.19,88.57,24.307,20.221,90.4,2569.4,38.02,30.6,0.00019,1.244,1.031,32.45,normal
419.4,179.77,131.13,39.33,90.57,24.86,20.618,90.49,2655.5,40.44,31.62,0.000204,1.32,1.046,30.87,normal
410.85,179.28,130.57,41.41,90.54,24.347,20.472,88.95,2565.2,37.01,31.13,0.000212,1.143,0.996,29.85,normal
408.05,179.51,130.35,39.99,88.89,26.473,19.8,90.49,2862.5,44.13,30.39,0.000206,1.195,0.996,28.25,normal
414.67,180.03,130.08,41.02,90.3,24.747,20.058,89.39,2743.7,36.5,29.7,0.000203,1.176,1.009,30.32,normal
407.76,179.64,129.14,40.72,90.19,24.603,20.127,88.94,2667.8,38.91,31.17,0.000211,1.234,0.992,27.72,normal
410.77,178.41,129.09,39.57,91.13,24.667,20.551,88.4,2673.4,39.85,31.76,0.000202,1.164,0.98,31.66,normal
413.3,181.33,128.58,40.86,89.21,24.353,21.039,89.91,2835.9,37.97,32.12,0.000204,1.121,1.021,27.34,normal
